1M,-87
2M,-85
5.5M,-83
11M,-80
6M,-84
9M,-81
12M,-79
18M,-77
24M,-75
36M,-71
48M,-67
54M,-64
HT20-MCS0,-82
HT20-MCS1,-74
HT20-MCS2,-72
HT20-MCS3,-69
HT20-MCS4,-65
HT20-MCS5,-63
HT20-MCS6,-61
HT20-MCS7,-60
HT40-MCS0,-79
HT40-MCS1,-71
HT40-MCS2,-69
HT40-MCS3,-66
HT40-MCS4,-64
HT40-MCS5,-62
HT40-MCS6,-61
HT40-MCS7,-59
VHT20-MCS0,-82
VHT20-MCS1,-74
VHT20-MCS2,-72
VHT20-MCS3,-69
VHT20-MCS4,-65
VHT20-MCS5,-63
VHT20-MCS6,-61
VHT20-MCS7,-60
VHT20-MCS8,-60
VHT40-MCS0,-79
VHT40-MCS1,-71
VHT40-MCS2,-69
VHT40-MCS3,-66
VHT40-MCS4,-64
VHT40-MCS5,-62
VHT40-MCS6,-61
VHT40-MCS7,-59
VHT40-MCS8,-59
VHT40-MCS9,-59
VHT80-MCS0,-79
VHT80-MCS1,-71
VHT80-MCS2,-69
VHT80-MCS3,-66
VHT80-MCS4,-64
VHT80-MCS5,-62
VHT80-MCS6,-61
VHT80-MCS7,-55
VHT80-MCS8,-55
VHT80-MCS9,-55
