power,	 Rx_OK,	 send_total,  RX_OK_Percent 
-79	 904	 1000	 90.4%
-80	 974	 1000	 97.4%
-81	 972	 1000	 97.2%
-82	 950	 1000	 95.0%
-83	 973	 1000	 97.3%
-84	 971	 1000	 97.1%
-85	 968	 1000	 96.8%
-86	 968	 1000	 96.8%
-87	 964	 1000	 96.4%
-88	 963	 1000	 96.3%
-89	 945	 1000	 94.5%
-90	 965	 1000	 96.5%
-91	 957	 1000	 95.7%
-92	 958	 1000	 95.8%
-93	 912	 1000	 91.2%
-94	 740	 1000	 74.0%
