power,	 Rx_OK,	 send_total,  RX_OK_Percent 
-79	 916	 1000	 91.6%
-80	 959	 1000	 95.9%
-81	 947	 1000	 94.7%
-82	 962	 1000	 96.2%
-83	 959	 1000	 95.9%
-84	 972	 1000	 97.2%
-85	 935	 1000	 93.5%
-86	 957	 1000	 95.7%
-87	 958	 1000	 95.8%
-88	 943	 1000	 94.3%
-89	 959	 1000	 95.9%
-90	 953	 1000	 95.3%
-91	 951	 1000	 95.1%
-92	 945	 1000	 94.5%
-93	 907	 1000	 90.7%
-94	 696	 1000	 69.6%
