power,	 Rx_OK,	 send_total,  RX_OK_Percent 
-79	 1000	 1000	 100.0%
-80	 974	 1000	 97.4%
-81	 980	 1000	 98.0%
-82	 992	 1000	 99.2%
-83	 981	 1000	 98.1%
-84	 990	 1000	 99.0%
-85	 993	 1000	 99.3%
-86	 985	 1000	 98.5%
-87	 983	 1000	 98.3%
-88	 979	 1000	 97.9%
-89	 982	 1000	 98.2%
-90	 984	 1000	 98.4%
-91	 997	 1000	 99.7%
-92	 964	 1000	 96.4%
-93	 865	 1000	 86.5%
-94	 542	 1000	 54.2%
