power,	 Rx_OK,	 send_total,  RX_OK_Percent 
-83	 1000	 1000	 100.0%
-84	 1000	 1000	 100.0%
-85	 989	 1000	 98.9%
-86	 1000	 1000	 100.0%
-87	 1000	 1000	 100.0%
-88	 999	 1000	 99.9%
-89	 999	 1000	 99.9%
-90	 992	 1000	 99.2%
-91	 981	 1000	 98.1%
-92	 927	 1000	 92.7%
-93	 802	 1000	 80.2%
-94	 522	 1000	 52.2%
