power,	 Rx_OK,	 send_total,  RX_OK_Percent 
-61	 1000	 1000	 100.0%
-62	 1000	 1000	 100.0%
-63	 999	 1000	 99.9%
-64	 998	 1000	 99.8%
-65	 997	 1000	 99.7%
-66	 980	 1000	 98.0%
-67	 980	 1000	 98.0%
-68	 977	 1000	 97.7%
-69	 974	 1000	 97.4%
-70	 973	 1000	 97.3%
-71	 957	 1000	 95.7%
-72	 903	 1000	 90.3%
-73	 709	 1000	 70.9%
