power,	 Rx_OK,	 send_total,  RX_OK_Percent 
-64	 999	 1000	 99.9%
-65	 1000	 1000	 100.0%
-66	 999	 1000	 99.9%
-67	 993	 1000	 99.3%
-68	 1000	 1000	 100.0%
-69	 1000	 1000	 100.0%
-70	 1000	 1000	 100.0%
-71	 1000	 1000	 100.0%
-72	 996	 1000	 99.6%
-73	 1001	 1000	 100.1%
-74	 998	 1000	 99.8%
-75	 997	 1000	 99.7%
-76	 978	 1000	 97.8%
-77	 899	 1000	 89.9%
-78	 526	 1000	 52.6%
