power,	 Rx_OK,	 send_total,  RX_OK_Percent 
-59	 1000	 1000	 100.0%
-60	 997	 1000	 99.7%
-61	 998	 1000	 99.8%
-62	 988	 1000	 98.8%
-63	 980	 1000	 98.0%
-64	 953	 1000	 95.3%
-65	 979	 1000	 97.9%
-66	 974	 1000	 97.4%
-67	 972	 1000	 97.2%
-68	 952	 1000	 95.2%
-69	 936	 1000	 93.6%
-70	 824	 1000	 82.4%
-71	 713	 1000	 71.3%
