power,	 Rx_OK,	 send_total,  RX_OK_Percent 
-64	 999	 1000	 99.9%
-65	 1000	 1000	 100.0%
-66	 999	 1000	 99.9%
-67	 993	 1000	 99.3%
-68	 999	 1000	 99.9%
-69	 1000	 1000	 100.0%
-70	 997	 1000	 99.7%
-71	 997	 1000	 99.7%
-72	 997	 1000	 99.7%
-73	 987	 1000	 98.7%
-74	 992	 1000	 99.2%
-75	 973	 1000	 97.3%
-76	 965	 1000	 96.5%
-77	 885	 1000	 88.5%
-78	 595	 1000	 59.5%
